PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	5.8332	0.5480	6.5005e-01	0.719	15.061	344.645603	2.000	22.4000	5.8331	1017.6394	17.6299	17.6299	6.9169	91.729	7.54092	7.54652	22.5370	3.1320e-02	5.9728	1017.6623	17.6528	22.3031	26.8496	31.2938	35.6379	9.8264e-04	9.9919e-06	22.5057	23743.2595	11
2.523	6.0919	0.4219	6.2935e-01	0.706	15.818	344.645611	2.500	23.6980	6.0918	1018.6386	18.6268	18.6268	6.7370	90.667	7.43036	7.43626	23.8378	2.8094e-02	6.2215	1018.6595	18.6476	23.2809	27.8106	32.2387	36.5671	9.8168e-04	9.0326e-06	23.8097	24736.0464	18
3.028	6.2921	0.3353	6.4036e-01	0.700	16.527	344.645620	3.000	24.9445	6.2919	1019.6018	19.5877	19.5877	6.6220	90.291	7.33408	7.34034	25.0871	2.4995e-02	6.4104	1019.6207	19.6066	24.2247	28.7398	33.1537	37.4682	9.8076e-04	8.1092e-06	25.0621	25490.1920	16
3.533	6.4438	0.2942	5.4846e-01	0.731	17.237	344.645628	3.500	25.6675	6.4435	1020.1568	20.1403	20.1403	6.5660	90.280	7.27294	7.27931	25.8117	2.3198e-02	6.5554	1020.1746	20.1581	24.7667	29.2725	33.6773	37.9830	9.8022e-04	7.5790e-06	25.7885	26069.1483	18
4.037	6.4372	0.2764	5.1336e-01	0.664	17.968	344.645636	4.000	25.5063	6.4369	1020.0331	20.0142	20.0142	6.5772	90.324	7.28177	7.28806	25.6501	2.3599e-02	6.5507	1020.0511	20.0323	24.6423	29.1495	33.5556	37.8627	9.8034e-04	7.6999e-06	25.6265	26050.1688	18
4.542	6.9336	0.2590	4.7300e-01	0.691	18.725	344.645645	4.500	26.5004	6.9333	1020.7601	20.7390	20.7390	6.4769	90.579	7.15071	7.15656	26.6465	2.1128e-02	7.0404	1020.7767	20.7556	25.3454	29.8329	34.2200	38.5087	9.7965e-04	7.0055e-06	26.6254	28004.9626	18
5.047	6.7801	0.2304	4.4919e-01	0.744	19.525	344.645654	5.000	26.1651	6.7797	1020.5173	20.4939	20.4938	6.5341	90.853	7.19199	7.19796	26.3105	2.1961e-02	6.8895	1020.5344	20.5110	25.1071	29.6009	33.9940	38.2885	9.7988e-04	7.2402e-06	26.2885	27402.5233	20
5.552	6.8447	0.1983	4.7743e-01	0.648	20.332	344.645664	5.500	26.3118	6.8443	1020.6275	20.6017	20.6017	6.4916	90.486	7.17413	7.18006	26.4575	2.1596e-02	6.9530	1020.6444	20.6186	25.2121	29.7031	34.0936	38.3856	9.7977e-04	7.1369e-06	26.4359	27656.0589	19
6.056	6.9087	0.1957	4.5441e-01	0.665	21.107	344.645673	6.000	26.3757	6.9082	1020.6727	20.6446	20.6445	6.4187	89.642	7.16029	7.16613	26.5216	2.1438e-02	7.0169	1020.6895	20.6614	25.2527	29.7417	34.1303	38.4204	9.7973e-04	7.0958e-06	26.5001	27911.2351	18
6.561	7.1367	0.1825	3.9488e-01	0.644	21.871	344.645681	6.500	26.8675	7.1362	1021.0340	21.0036	21.0035	6.2920	88.626	7.09941	7.10506	27.0144	2.0215e-02	7.2409	1021.0501	21.0197	25.6016	30.0814	34.4610	38.7425	9.7939e-04	6.7522e-06	26.9942	28805.4888	19
7.066	7.0822	0.1635	3.7515e-01	0.654	22.675	344.645691	7.000	26.8744	7.0816	1021.0485	21.0157	21.0157	6.2587	88.051	7.10803	7.11379	27.0213	2.0198e-02	7.1857	1021.0645	21.0318	25.6150	30.0960	34.4768	38.7595	9.7937e-04	6.7405e-06	27.0011	28585.2166	20
7.570	7.5093	0.1597	3.8367e-01	0.651	23.535	344.645701	7.500	27.9166	7.5087	1021.8160	21.7811	21.7810	6.1194	87.545	6.99000	6.99544	28.0659	1.7607e-02	7.6029	1021.8305	21.7956	26.3603	30.8233	35.1867	39.4525	9.7864e-04	6.0086e-06	28.0483	30250.4822	21
8.075	7.7506	0.1034	4.1458e-01	0.696	24.401	344.645711	8.000	28.4130	7.7499	1022.1763	22.1391	22.1390	6.0363	87.120	6.92878	6.93398	28.5633	1.6373e-02	7.8392	1022.1901	22.1530	26.7080	31.1617	35.5161	39.7731	9.7829e-04	5.6666e-06	28.5470	31193.7741	21
8.580	7.8004	0.0910	4.1914e-01	0.694	25.276	344.645721	8.500	28.5580	7.7996	1022.2858	22.2463	22.2462	6.0116	86.945	6.91428	6.91945	28.7087	1.6013e-02	7.8873	1022.2994	22.2599	26.8127	31.2642	35.6163	39.8713	9.7819e-04	5.5643e-06	28.6927	31385.8717	21
9.084	7.9016	0.0818	4.3296e-01	0.699	26.153	344.645731	9.000	28.9490	7.9008	1022.5811	22.5393	22.5392	5.9764	86.857	6.88075	6.88590	29.1005	1.5041e-02	7.9835	1022.5941	22.5523	27.0996	31.5459	35.8930	40.1430	9.7790e-04	5.2847e-06	29.0855	31769.9335	20
9.589	8.0971	0.0780	4.3346e-01	0.713	26.982	344.645741	9.500	29.4949	8.0962	1022.9846	22.9406	22.9404	5.9088	86.566	6.82580	6.83081	29.6477	1.3684e-02	8.1723	1022.9968	22.9527	27.4913	31.9290	36.2679	40.5099	9.7752e-04	4.9021e-06	29.6340	32523.5917	20
10.094	8.1482	0.0816	3.4553e-01	0.703	27.776	344.645750	10.000	29.8310	8.1473	1023.2431	23.1968	23.1967	5.8694	86.277	6.80297	6.80803	29.9845	1.2849e-02	8.2187	1023.2547	23.2085	27.7433	32.1773	36.5127	40.7513	9.7727e-04	4.6579e-06	29.9716	32708.7496	19
10.598	8.2489	0.0821	3.3532e-01	0.705	28.589	344.645759	10.500	30.2411	8.2479	1023.5526	23.5040	23.5039	5.8115	85.849	6.76938	6.77442	30.3955	1.1829e-02	8.3136	1023.5635	23.5150	28.0444	32.4732	36.8034	41.0370	9.7698e-04	4.3653e-06	30.3837	33087.9339	20
11.103	8.3676	0.0789	3.0903e-01	0.715	29.449	344.645769	11.000	30.6118	8.3665	1023.8282	23.7775	23.7773	5.7554	85.455	6.73503	6.73999	30.7670	1.0908e-02	8.4271	1023.8386	23.7878	28.3116	32.7350	37.0600	41.2887	9.7672e-04	4.1051e-06	30.7561	33541.0254	21
11.608	8.5164	0.0742	2.9211e-01	0.712	30.368	344.645780	11.500	30.8298	8.5152	1023.9797	23.9267	23.9265	5.7003	85.042	6.70296	6.70772	30.9856	1.0366e-02	8.5732	1023.9898	23.9368	28.4555	32.8740	37.1942	41.4182	9.7657e-04	3.9632e-06	30.9752	34124.2262	23
12.113	8.7288	0.0722	2.6663e-01	0.724	31.280	344.645790	12.000	31.1555	8.7276	1024.2055	24.1502	24.1501	5.6183	84.396	6.65703	6.66150	31.3119	9.5564e-03	8.7814	1024.2151	24.1598	28.6712	33.0826	37.3959	41.6133	9.7636e-04	3.7507e-06	31.3024	34955.2653	21
12.617	8.7536	0.0657	2.7259e-01	0.721	32.153	344.645800	12.500	31.2019	8.7523	1024.2404	24.1829	24.1827	5.5850	83.969	6.65135	6.65579	31.3585	9.4410e-03	8.8055	1024.2499	24.1924	28.7029	33.1134	37.4258	41.6424	9.7632e-04	3.7197e-06	31.3490	35051.4003	21
13.122	8.9909	0.0528	2.8323e-01	0.738	33.018	344.645810	13.000	31.5025	8.9895	1024.4419	24.3822	24.3820	5.5424	83.933	6.60334	6.60742	31.6597	8.6938e-03	9.0388	1024.4510	24.3913	28.8942	33.2972	37.6025	41.8122	9.7613e-04	3.5303e-06	31.6510	35982.8712	20
13.627	9.0610	0.0485	2.5906e-01	0.741	33.847	344.645820	13.500	31.6571	9.0596	1024.5544	24.4924	24.4921	5.5137	83.713	6.58646	6.59047	31.8147	8.3095e-03	9.1066	1024.5632	24.5012	29.0014	33.4018	37.7045	41.9117	9.7603e-04	3.4257e-06	31.8064	36253.4846	20
14.131	9.1281	0.0435	2.5411e-01	0.783	34.704	344.645830	14.000	31.9148	9.1266	1024.7478	24.6836	24.6833	5.4730	83.358	6.56572	6.56969	32.0730	7.6689e-03	9.1695	1024.7562	24.6919	29.1887	33.5858	37.8853	42.0894	9.7584e-04	3.2442e-06	32.0653	36504.7850	21
14.636	9.1438	0.0386	2.3135e-01	0.752	35.607	344.645840	14.500	31.9974	9.1423	1024.8122	24.7457	24.7455	5.4511	83.097	6.55993	6.56391	32.1558	7.4636e-03	9.1838	1024.8205	24.7539	29.2497	33.6459	37.9445	42.1478	9.7578e-04	3.1852e-06	32.1483	36561.8140	22
15.141	9.1619	0.0377	2.2691e-01	0.770	36.539	344.645851	15.000	32.0391	9.1603	1024.8443	24.7755	24.7753	5.4362	82.926	6.55553	6.55950	32.1976	7.3599e-03	9.2013	1024.8525	24.7837	29.2788	33.6742	37.9722	42.1748	9.7575e-04	3.1570e-06	32.1902	36631.3574	22
15.646	9.2609	0.0357	2.2027e-01	0.843	37.429	344.645861	15.500	32.2336	9.2592	1024.9832	24.9121	24.9118	5.3823	82.387	6.53298	6.53682	32.3925	6.8764e-03	9.2972	1024.9910	24.9199	29.4114	33.8033	38.0978	42.2971	9.7562e-04	3.0274e-06	32.3856	37014.3156	21
16.150	9.3127	0.0239	2.1978e-01	0.796	38.277	344.645871	16.000	32.3485	9.3110	1025.0670	24.9937	24.9935	5.3278	81.706	6.52066	6.52444	32.5076	6.5908e-03	9.3472	1025.0747	25.0014	29.4908	33.8808	38.1734	42.3709	9.7554e-04	2.9501e-06	32.5010	37213.9795	20
16.655	9.4113	0.0210	1.9696e-01	0.778	39.113	344.645881	16.500	32.4934	9.4096	1025.1669	25.0913	25.0910	5.2549	80.839	6.50043	6.50407	32.6529	6.2306e-03	9.4435	1025.1743	25.0988	29.5849	33.9718	38.2613	42.4558	9.7544e-04	2.8576e-06	32.6467	37598.5137	20
17.160	9.5055	0.0217	1.7891e-01	0.768	39.966	344.645891	17.000	32.6866	9.5037	1025.3050	25.2272	25.2269	5.1884	80.081	6.47889	6.48243	32.8465	5.7505e-03	9.5346	1025.3121	25.2343	29.7170	34.1004	38.3867	42.5780	9.7531e-04	2.7288e-06	32.8407	37961.8830	21
17.664	9.6652	0.0156	1.7306e-01	0.746	40.870	344.645901	17.500	32.9520	9.6633	1025.4886	25.4086	25.4083	5.1432	79.799	6.44521	6.44853	33.1125	5.0908e-03	9.6899	1025.4953	25.4153	29.8925	34.2706	38.5518	42.7382	9.7514e-04	2.5568e-06	33.1074	38581.8256	22
18.169	9.7995	0.0136	1.7595e-01	0.889	41.775	344.645912	18.000	33.1230	9.7975	1025.6023	25.5201	25.5198	5.1222	79.795	6.41924	6.42236	33.2838	4.6658e-03	9.8213	1025.6087	25.5265	29.9995	34.3736	38.6509	42.8335	9.7503e-04	2.4512e-06	33.2792	39106.6789	22
18.674	9.8773	0.0131	1.7502e-01	0.765	42.660	344.645922	18.500	33.2312	9.8752	1025.6762	25.5917	25.5914	5.0975	79.600	6.40388	6.40690	33.3923	4.3968e-03	9.8973	1025.6824	25.5980	30.0685	34.4402	38.7151	42.8955	9.7496e-04	2.3835e-06	33.3879	39409.8670	21
19.179	9.9540	0.0109	1.7501e-01	0.750	43.548	344.645932	19.000	33.3660	9.9518	1025.7708	25.6842	25.6839	5.0740	79.435	6.38767	6.39058	33.5274	4.0617e-03	9.9716	1025.7768	25.6902	30.1581	34.5272	38.7996	42.9776	9.7487e-04	2.2960e-06	33.5233	39706.4088	21
19.683	9.9560	0.0052	1.7154e-01	0.763	44.386	344.645942	19.500	33.4446	9.9538	1025.8341	25.7452	25.7449	5.0611	79.276	6.38416	6.38710	33.6061	3.8664e-03	9.9722	1025.8399	25.7510	30.2183	34.5868	38.8587	43.0361	9.7481e-04	2.2382e-06	33.6023	39708.7234	19
20.188	9.9708	0.0067	1.7223e-01	0.797	45.171	344.645951	20.000	33.4686	9.9685	1025.8527	25.7616	25.7612	5.0553	79.224	6.38113	6.38405	33.6303	3.8065e-03	9.9864	1025.8585	25.7673	30.2341	34.6022	38.8736	43.0506	9.7479e-04	2.2229e-06	33.6264	39765.5532	19
20.693	9.9861	0.0070	1.7093e-01	0.773	46.025	344.645961	20.500	33.5364	9.9837	1025.9053	25.8119	25.8115	5.0451	79.123	6.37623	6.37915	33.6982	3.6381e-03	10.0004	1025.9110	25.8176	30.2835	34.6508	38.9214	43.0976	9.7474e-04	2.1753e-06	33.6945	39821.5657	22
